dummy_cell_id_year,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,elev,dist_sett,dist_riv,dist_road,dist_pa,npp,treecov,agriculture,team,year,eff1,eff2,eff3,eff4,eff5,eff6,eff7,eff8,eff9,eff10,eff11,eff12,eff13,eff14,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10,team11,team12,team13,team14
131-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.602034547,2.300367965,0.505856703,-0.483522037,2.688581954,-0.093930567,-1.112813879,0.515177334,T5,2015,-1.971737955,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.567537826,2.190360467,1.278052908,-0.457257658,3.991355829,0.13954344,-1.158824934,-0.100885841,T5,2015,-1.761031794,0.767442136,0.451382895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133-2015,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.509532144,2.086319469,1.432556273,0.10059051,4.49758467,0.37086513,-0.454826965,0.017587846,T5,2015,-0.286088668,0.767442136,0.346029815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134-2015,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4653059,1.99696061,1.981754592,0.910472045,4.029005601,0.358672717,0.419664905,-0.503696379,T5,2015,0.240676734,0.767442136,0.240676734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135-2015,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.552131078,1.870306407,0.227278871,1.155566609,3.269462092,0.502810317,0.789628099,-0.503696379,T5,2015,0.662089056,0.767442136,0.029970573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136-2015,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61065157,1.836485869,2.534373592,0.803464475,3.341809478,-0.55340866,-0.267461539,-0.480001641,T5,2015,0.662089056,0.767442136,-0.180735588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.612809145,2.092295897,-0.334114113,-0.295451315,3.270559531,-0.016928705,-0.688584795,1.628829997,T5,2015,-1.971737955,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.583769077,1.965693314,0.162116465,-0.0570671,4.213501317,0.263384532,-0.204820565,-0.266749004,T5,2015,-1.971737955,0.767442136,-0.180735588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.487741803,1.75727777,0.904384245,1.03766724,3.075373996,0.387761981,0.595735003,-0.503696379,T5,2015,0.240676734,0.767442136,0.029970573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140-2015,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.486850165,1.678816187,0.775638038,1.152045603,2.195037802,0.466017748,0.5464367,-0.503696379,T5,2015,0.451382895,0.767442136,0.451382895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141-2015,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.508848112,1.620453283,0.245503331,0.579726331,1.844790017,0.636041249,0.521072044,-0.503696379,T5,2015,0.451382895,0.767442136,0.135323654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142-2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.618119551,1.744656161,-0.629528231,0.372133312,4.301346353,0.175201258,-0.118404562,0.325619434,T5,2015,-1.971737955,0.451382895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143-2015,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.497600284,1.520171336,0.926088637,1.132244672,2.249576739,0.389922176,0.391034452,-0.503696379,T5,2015,-1.761031794,0.767442136,-0.075382507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144-2015,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470954886,1.435028173,1.267969233,0.916003689,1.060767315,0.500833613,0.773867646,-0.503696379,T5,2015,0.135323654,0.767442136,0.346029815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59467881,1.52907261,-0.070905102,0.641852989,3.576652483,0.271605811,0.55631867,0.017587846,T5,2015,-1.971737955,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.602497885,1.398897771,-0.119356589,0.726686614,2.838404286,0.344015496,0.555345134,-0.314138479,T5,2015,-2.077091035,0.767442136,-0.075382507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147-2015,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.547477352,1.286231307,0.50484178,0.597708777,1.761979188,0.410036178,0.448107073,-0.503696379,T5,2015,-1.866384874,0.240676734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148-2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.508159385,1.123436941,0.747803535,0.197052633,-0.408579095,0.500454487,1.148959865,-0.503696379,T5,2015,-1.550325633,0.346029815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.60961224,1.056395129,-0.107773846,-0.103599156,1.33814928,0.379160264,-0.468977688,-0.290443741,T5,2015,-1.866384874,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150-2015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.608386836,0.954176246,-0.40974934,0.181735154,0.71305825,0.206621077,-0.410612575,0.278229959,T5,2015,-1.866384874,0.767442136,-0.286088668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T5,T5,T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
